Оценка;Комментарий
Excellent (5);Интересный доклад, хотелось бы практических примеров побольше. Я думаю, что для таких докладов надо делать 2 слота, Так как докладчик не успел всё рассказать
Excellent (5);Это был настоящий мастер-класс. Восторг.
Excellent (5);Докладчик огонь
Excellent (5);эталон доклада. человеку, который ниразу не щупал graphQL, было всё понятно. поставил, пробую. вот так нужно делать дайв!
Excellent (5);Доклад о технологии, которую я собираюсь внедрять. Очень живо, объемно.
Excellent (5);Интересный, очень насыщенный доклад.
Excellent (5);все ок
Excellent (5);Доклад очень понарвился и и мышление докладчика тоже =))
Excellent (5);На конференции хотелось найти ответы на некоторые технические вопросы - в частности методы упрощения разработки бека. Прямого ответа на них получить не удалось. В этом докладе узнал о направлении, которое надеюсь поможет упростить в будущем разработку бека. Этот доклад очень хочется пересмотреть в будущем (и не один раз) и разобрать материал глубже.
Excellent (5);Были практические примеры, советы.
Excellent (5);Рассмотрено много практических кейсов
Excellent (5);Однозначно лучший доклад дня, буду пересматривать не раз
Excellent (5);подача
Excellent (5);На следующий день общался со спикером на тему того как применить продать GraphQL  в свою организацию. Наверное самый заряженный доклад в первый день конференции
Excellent (5);Все по делу. я бы сказал что нужен целый курс, одного часа мало.
Excellent (5);Супер огненный доклад. Можно было бы слушать все три часа) это самый полный и полезный доклад по этой теме + подача докладчика очень крутая и весёлая
Excellent (5);Отличная подача материала, легко слушать и воспринимать
Excellent (5);Слайды шикарны, много информации, ссылка на презентацию (удобно)
Excellent (5);Самый крутой доклад. Очень крутая подача и тепм. Приятные шутки на слайдах, интересный материал. С увдовольствием присоединился к обсуждению тем в дискуссионной зоне после доклада.
Excellent (5);Паша своеобразный спикер, слушать интересно, много полезных советов, но не сложилось что все таки делать с GraphQL, он то вроде крутой, только Паша сам говорит, что лезть туда стоит хорошо подумав и сам признаёт много проблемных мест
Excellent (5);Настоящий штурм мозга. Давно присматривался к GraphQl, после доклада точно уверен, буду использовать на своих проектах.
Excellent (5);отличная подача информации в быстром темпе, все понятно
Excellent (5);глубокое погружение, много подводных камней, видно, что контент выстрадан
Excellent (5);Очень бодро и интересно
Excellent (5);Все понятно было
Excellent (5);Проснулась, вдохновилась, круто!!!!
Excellent (5);отличная подача
Excellent (5);Очень много информации
Excellent (5);Павел всегда очень круто рассказывает, заслушиваешься.
Excellent (5);Очень практично, буду искать видео на полную версию доклада
Excellent (5);Очень мощный доклад, харизма спикера. Актуальность темы.
Excellent (5);Мне продали graphql
Excellent (5);Особенно полезна информация о том как правильно надо решать N + 1 проблему.
Excellent (5);Отличная подача, широкая практическая применимость
Excellent (5);Павел поделился своим опытом, что очень ценно для меня, так как я встретил схожие проблемы. Жаль ему не хватило времени рассказать всю презентацию, но у него были слайды по ссылке и он согласился пообщаться на следующий день. Для меня это был полезнейший доклад.
Excellent (5);Очень классный доклад, который развеяли мои опасения относительно некоторых моментов использования GraphQL, жалко не все успел рассказать, но тут ничего не поделаешь, временные рамки
Excellent (5);Шикарная подача материала, простота восприятия, практическая применимость и хорошие знания докладчика. Жаль, что время на доклад, только час. У Павла было подготовлено еще много материала, который он мог бы рассказать
Excellent (5);Доклад был объёмный. Мне было очень интересно посмотреть на практику с GraphQL и понять, как это работает. Было много информации и воспринять её до конца получилось только в дискуссионной зоне. Спикер сделал актуальный, но самое главное полезный (по крайне мере для меня) доклад.
Excellent (5);Лучший доклад, который я слушал на конференции. Очень экспрессивный и увлекательный доклад.
Excellent (5);для меня ново потому не все понятно, особенно под конец
Excellent (5);еще один доклад про graphQL но вынес с него несколько прикольных фишек
Excellent (5);Дикий темп, содержание воды 0 секунд на 1 минуту доклада и очевидно докладчик с огромным опытом применения того о чем рассказывает.
Excellent (5);Очень разборчиво и достаточно глубоко за такое время смог объяснить людям которые не знали про GraphQL ничего
Excellent (5);Пожалуй один из самых практичных докладов на конференции
Excellent (5);Хорошая подача, интересный рассказ, актуальная тема
Excellent (5);Новая информация, хочу применить, докладчик заинтересовал темой, хотя весь доклад пугал примерами неправильных кейсов
Excellent (5);Земляк всё-таки) По существу, хотелось бы послушать весь доклад
Excellent (5);Крутая динамика доклада
Excellent (5);практическая применимость
Excellent (5);Все доступно, понятно
Excellent (5);Очень информативно, жаль времени было мало
Excellent (5);Мне все понравилось и даже показалось, что все таки мало часа для того, что бы освятить такую тему.
Excellent (5);Надеюсь применять в будущем, поэтому было очень интересно
Good (4);Докладчик прошел по разным аспектам технологии, и добавил деталей, до этого те доклады которые я слыша по графкл были довольно поверхностные, но из-за ограничения по времени - скорость подачи была очень высокая, а довольно интересные вещи пропускались.
Good (4);Доклад не скучен и полезен
Good (4);Доклад интересный, но слишком много информации
Good (4);доклад конечно хорошо, но под него нужно больше времени. Мне было немного сложно познакомиться с технологией. Не потому что докладчик и не потому что презентация, а потому что выступление просто физически не влазило в час. Думаю нужно было рассказывать слегка поразмазанней.
Good (4);Интересно, но сумбурной
Good (4);Большая тема, есть что вынести из доклада, довольно мотивационный, но к сожалению из-за ограничений по времени всё было очень быстро, порой не всегда поспевал за мыслью
Good (4);Очень хорошая подача, понравилась отвлеченность от технологий реализации.
Good (4);Наверное самый интересный доклад в первый день
Good (4);Отличный доклад, половину не понял)) Я не бэкендер, некотрая информация было слишком специфична
Good (4);Сложно было воспринимать бэкенд часть доклада
Good (4);интересный доклад
Good (4);Сойдет, новизна
Good (4);Взял вооружение некоторые подходы, но в большинстве случаев уже знал об этом
Good (4);Организаторы выделили мало времени на доклад
Good (4);Для меня - самый крутой доклад, шикарная презентация, актуальная тема. Один лишь только минус - за попытку объять необъятное: докладчик хотел рассказать обо всем, в итоге бежал по материалу, часть пролетал. Видно, что очень круто разбирается в теме, но все-таки, нам хотелось бы понять и научиться, а не убедиться, что вы крутой специалист. Вообще, этой технологии можно было бы посвятить больше одного часа за 2 дня. Отдельное спасибо за отличную презентацию
Good (4);Но очень быстро...
Good (4);Полезный доклад, узнала про новую возможность, которую можно внедрить в наш нынешний продукт. Содержательно
Good (4);большая презентация, кладезь знаний
Good (4);Слишком много уделил внимания авторизации/аутентификации/идентификации, можно было чутка меньше заострять на этом внимание (лично мне при освоении GraphQL было и так понятно как что устроено, в том числе и авторизация). Про такие штуки как Prisma и Hasura мог бы и побольше рассказать, в особенности про последнее. Очень понравилось сравнение Rest API / Swagger и GraphQL с армией, армией по контракту и меню в ресторане соответственно. В целом доклад очень хороший.
Good (4);Очень быстро и сжато, было похоже на рекламу его будующего митапа.
Good (4);просто воспринимать, рассказал наиболее значимые места при использовании GraphQL в проектах, к сожалению почти обо всем этом уже знал
Good (4);очень быстрая подача, мало что понял при такой скорости, докладчик многое пропустил
Good (4);Давно слышал про GraphQL, но руки не доходили познакомиться. В целом доклад понравился, узнал что хотел и в дальнейшем буду глубже изучать тему
Good (4);Постоянная смена слайдов, которых было слишком много, показалось что автору просто было лень подгонять доклад под выделенное время на конференции, поэтому он постоянно переключался и что-то пропускал.
Good (4);высокая практическая применимость
Good (4);Очень интересно, сложно и пока непонятно :)
Good (4);Слушал не очень внимательно
Good (4);Тема для меня совершенно новая, по ходу доклада появилось желание попробовать, но в самом конце он сказал, что бэкенд разработчиков невозможно заставить перейти на graphql, надо самому становиться фулстеком, это немного испортило концовку
Good (4);-
Good (4);Доклад содержательный. Но докладчик был плохо подготовлен, показывал более объемную презентацию, пролистывая некоторые слайды, будто это презентация для совсем другого доклада. Также заметил, что не у всех докладчиков слайды были на английском языке, хотя аудиотория была не только русскоговорящая.
Good (4);"Видно, что докладчик разбирается в теме, и поставил бы оценку ""Превосходно"" если бы весь материал не был бы подан в такой спешке, как по мне - лучше рассказать в общих чертах и уложится во время, чем сумбурно подавать материал, хотя даже это вышло очень хорошо, так как я все понял."
Good (4);Доклад был не полный, спикер сам сказал, что рассмотрим только треть слайдов, поэтому много тем пропустил.
Good (4);"Новое для меня. не самый ""гибкий"" подход. с проблемами для крупных команд"
Good (4);ничего нового не узнал, просто замотивировался покодить
Good (4);Галопом по европам
Good (4);Хороший доклад, Павлу стоило выделить больше времени на выступление
Good (4);Интересная для меня тема, очень много информации, сначала сложно переварить, но теперь есть общее видение.
Good (4);Получил достаточные и четкие знания по теме
Good (4);Паша крут. но все так быстро, что в голове ничего не осталось((((
Good (4);Павел достаточно харизматичен и хорошо выступил. Слушать было легко и понятно. Актуальная тема для меня, так как есть вероятность использования данной технологии в текущем проекте. Однако, я считаю, что материал доклада можно было бы сделать менее обширным и более точечным.
Good (4);Интересно вынесла то что это отдать фуллстеку и он разберется - много обращения к бекарам и совсем не про фронт Чувствуешь себя тупым так как не бекер и даже не хочешь туда идти
Good (4);Павел очень быстро рассказывал, можно было меньше, но подробнее.
Good (4);Иногда докладчик сильно торопился
Good (4);Доклад хорош, но для меня принципиально новой информации не было
Good (4);Слишком сжатый материал, много пропущено, лучше меньше рассказать, но подробнее. В целом хорошо.
Good (4);Новизна
Good (4);Жаль, что спикер пропустил вводную. Для меня GraphQL - чёрная коробка, поэтому очень тяжело было из контекста понимать, как это работает. Слишком времени много ушло на RBAC непонятно зачем. Если это важно в системе GraphQL - это можно было бы обозначить, если нет, и это *просто* проблема в целом - смысла особого не было рассказывать 20-30 минут, мне кажется. Но слайды очень хорошие - много ссылок, много информации и в целом заменяет просмотр видео на повторе :)
Good (4);Доклад для новичков
Good (4);доступно объяснил с чего стоит начинать и стандартные косяки новичков, но сомневаюсь что в ближайшее время, мне пригодится жта информация
Good (4);Подача - жесть, конечно =) Это я вам не расскажу, и это тоже. Паша, привет от Senior Architect =)
Fine (3);"Все рассказывалось ""бегом"", как будто докладчик опаздывает на самолет"
Fine (3);Возникли трудности с восприятием темпа
Fine (3);Слишком много информации слишком быстро
Fine (3);Интересная подача, много конкретики. Но слишком быстро
Fine (3);раньше не работала и не читала про эту тему - а доклад был огромный и очень скомканный - надо пересмотреть еще пару раз - чтобы разобраться, хотя сам спикер был довольно хорош и гооврил хорошо - просто слишком быстро все неслось
Fine (3);Просто ожидал большего от доклада (Павел сам очень рекламировал этот доклад в телеграме)
Fine (3);Быстро, сложно, непонятно(
Fine (3);Завышенные ожидания не оправдались, в целом было интересно, но уходил в лютые дебри Я если честно начинал засыпать
Fine (3);Not really liked, he could talk more useful/helpful things.
Fine (3);Слишком поверхностная подача, беглое изложение, много мусора в речи
Fine (3);я бек на дот нете и я не поняла вообще, зачем нужен графкл, выглядело как ещё один способ выстрелить себе в ногу
Fine (3);Доклад был явно более обширный чем удалось уместить в час времени. Какие-то вещи были пропущены, что-то показано мельком. На мой взгляд было бы лучше подготовить версию, попадающую в тайминг. Технически не хватило примеров как именно ходить за данными, в то же время слишком много времени уделили теме авторизации.
Fine (3);Доклад пестрил техническими подробностями, но я не понял, зачем мне все это нужно, кроме самой стартовой части, в которой вкратце рассказывалось про то, что такое GraphQL. Кажется, я не был целевой аудиторией.
Fine (3);Слишком быстро рассказывал и получилось скомкано
Fine (3);Не получил никаких реально полезных на практике знаний
Fine (3);Слишком много про авторизацию/аутентификацию/идентификацию
Fine (3);узнал что-то новое
Fine (3);Для меня доклад оказался тяжеловат, так как я frontend, но из любопытства пошла на этот доклад.Тема интересная и многогранная, но тяжеловата.
Fine (3);Слишком хардкорно
Fine (3);много было материала, который на мой взгляд, доступен и так. Болше хотелось про возможности стриминга и будущее развитие.
Fine (3);Толковый материал, хорошая подача. Но создалось впечатление, что доклад готовился для другой конференции. Спикер изначально не вписывался в тайминг и перескакивал через слайды.
Fine (3);Я бы разбил его на 2 доклада. Один для профи, один - обзорный.
Fine (3);Доклад оказался для людей которые уже во всю изпользуют GraphQL и именно пилят с помощью него бекенд на node.js. Я ожидал немного другого - введения в GraphQL и зачем оно вообще нужно.
Fine (3);Слишком большой объём информации, Большая часть осталась неосвещенной
I've missed this talk;"Лучше иметь 20 слайдов и четко рассказать все, уложившись во времени, чем иметь 300 и пропускать их прямо на ходу. Это очень сильно портит впечатление, такое ощущение, что докладчик так и не решил, что же он хотел рассказать. Сама тема был интересна, материал стоящий, но подача испортила всё :( Простота воприятия на нуле, невозможно слушать такое суетливое ""едем дальше"""
I've missed this talk;Не понял, за что так хвалили спикера перед началом конференции? Я уверен, что про GraphQL за отведённое время можно было бы рассказать гораздо интереснее и большим количеством полезной информации. Спикер спешил, сбивался, создавалось ощущение, что он сам эту презентацию видит в первый раз
I've missed this talk;Очень бегло, в спешке все рассказывалось
I've missed this talk;впечатление такое что люди себе сами проблемы выдумали и сами с ними борятся
I've missed this talk;Слушал в фоне из дискусионной зоны, сложно дать объективную оценку.
I've missed this talk;Много красивых слов с претензией на глубокое понимание сути, но на деле ничего нового не открыли
